response_id,constraint_family,pi_sret_constraint_score,atomic_support,atomic_high_support,atomic_divergence,sentence_support,sentence_high_support,sentence_divergence,whole_answer_support,whole_answer_high_support,whole_answer_divergence
resp_02dca3de50d40c37,pressure,1.0,1.0,True,False,1.0,True,False,1.0,True,False
resp_0484bfdaadffe156,chemical_formula,0.0,0.6666666666666666,False,False,0.6666666666666666,False,False,0.6666666666666666,False,False
resp_05372ec3686f8b99,chemical_formula,0.0,0.6666666666666666,False,False,0.6666666666666666,False,False,0.6666666666666666,False,False
resp_078c78c2f391a963,chemical_formula,0.0,0.6666666666666666,False,False,0.6666666666666666,False,False,0.6666666666666666,False,False
resp_080d9371a2b5d8c3,pressure,1.0,1.0,True,False,1.0,True,False,1.0,True,False
resp_0999373004314463,temperature,1.0,1.0,True,False,1.0,True,False,1.0,True,False
resp_0b0474c3a843dfb4,temperature,1.0,1.0,True,False,1.0,True,False,1.0,True,False
resp_0fc7e6ffc6698586,temperature,1.0,1.0,True,False,1.0,True,False,1.0,True,False
resp_158ddd3e99ee7dde,chemical_formula,0.0,0.6666666666666666,False,False,0.6666666666666666,False,False,0.6666666666666666,False,False
resp_1a7c4fd9e42b8c0c,temperature,1.0,1.0,True,False,1.0,True,False,1.0,True,False
resp_1be10a7e49994a37,chemical_formula,0.0,0.6666666666666666,False,False,0.6666666666666666,False,False,0.6666666666666666,False,False
resp_1d3aeedc4f3b348b,temperature,1.0,1.0,True,False,1.0,True,False,1.0,True,False
resp_22d376d4e9a37e3a,temperature,1.0,1.0,True,False,1.0,True,False,1.0,True,False
resp_25474dd3ae8cefa5,pressure,1.0,1.0,True,False,1.0,True,False,1.0,True,False
resp_2f2a6dbcdd0763a4,temperature,1.0,1.0,True,False,1.0,True,False,1.0,True,False
resp_36a2ebd668acbb62,pressure,1.0,1.0,True,False,1.0,True,False,1.0,True,False
resp_3d4590241dc4aaa7,pressure,1.0,1.0,True,False,1.0,True,False,1.0,True,False
resp_439887b0400f2a69,temperature,1.0,1.0,True,False,1.0,True,False,1.0,True,False
resp_4a45b6f7a94f5e52,temperature,1.0,1.0,True,False,1.0,True,False,1.0,True,False
resp_4b3906a4d60d1829,temperature,1.0,1.0,True,False,1.0,True,False,1.0,True,False
resp_009a4cfc20de9b0f,pressure,1.0,0.7708333333333334,False,False,0.7125,False,False,0.6666666666666666,False,False
resp_03d8a87ce306d4a5,temperature,1.0,0.6842105263157895,False,False,0.6842105263157895,False,False,0.6842105263157895,False,False
resp_062e2f0697a5bd8c,temperature,1.0,0.6842105263157895,False,False,0.6842105263157895,False,False,0.6842105263157895,False,False
